Date,Open,High,Low,Close,Volume
8/1/2012,1040.25,1050,1036,1046,1516668
8/2/2012,1045.1,1061.1,1042,1058.5,1447167
8/3/2012,1050.15,1051.05,1032,1041.1,1234299
8/6/2012,1055,1073.05,1054.6,1063.6,1600101
8/7/2012,1068,1095,1066,1091.3,2425224
8/8/2012,1100,1109.7,1090.65,1096.7,2363680
8/9/2012,1102,1109.8,1080.1,1087.2,1607826
8/10/2012,1088,1090.9,1040.85,1070,2143514
8/13/2012,1069,1085,1052.4,1080.85,1532892
8/14/2012,1078,1110,1075.5,1107.2,1666365
8/16/2012,1115,1122,1107.7,1113.95,2047213
8/17/2012,1115,1121.6,1102.4,1110.2,1604160
8/21/2012,1114,1117.7,1097.4,1110.7,1308503
8/22/2012,1106.45,1119.85,1100.1,1108,1065952
8/23/2012,1114,1118.5,1089,1094.65,1601526
8/24/2012,1088.1,1088.15,1065.55,1075.45,1564006
8/27/2012,1080,1080,1035,1039.1,2287248
8/28/2012,1042,1042,1007.1,1017.25,3011821
8/29/2012,1019,1029,1007,1018.45,1685812
8/30/2012,1020,1027.15,1004.05,1013.25,2645176
8/31/2012,1012.9,1014.95,988.55,991.8,2735770
9/3/2012,998.15,1008.3,974.45,977.6,2772713
9/4/2012,981,984.9,966.85,978.3,2944049
9/5/2012,967,968.5,927.25,930.25,5304880
9/6/2012,932,956.5,928.15,948.7,3427958
